"Towards Interoperability of Open and Permissionless <span class=""search-hit mathjax"">Blockchains</span>: A Cross-Chain Query Language",https://arxiv.org/pdf/2209.07224
A First Application of Collaborative Learning In Particle Physics,https://arxiv.org/pdf/2209.07191
"Self-Healing Secure <span class=""search-hit mathjax"">Blockchain</span> Framework in Microgrids",https://arxiv.org/pdf/2209.07138
How Much Does It Cost to Train a Machine Learning Model over Distributed Data Sources?,https://arxiv.org/pdf/2209.07124
Smart Contract Vulnerability Detection Technique: A Survey,https://arxiv.org/pdf/2209.05872
A Survey on Mobile Edge Computing for Video Streaming: Opportunities and Challenges,https://arxiv.org/pdf/2209.05761
Modelling Business Agreements in the Multimodal Transportation Domain through Ontological Smart Contracts,https://arxiv.org/pdf/2209.05463
"A Declarative Modelling Framework for the Deployment and Management of <span class=""search-hit mathjax"">Blockchain</span> Applications",https://arxiv.org/pdf/2209.05092
An Investigation of Smart Contract for Collaborative Machine Learning Model Training,https://arxiv.org/pdf/2209.05017
"IOTA Tangle 2.0: Toward a Scalable, Decentralized, Smart, and Autonomous IoT Ecosystem",https://arxiv.org/pdf/2209.04959
"Towards Security Enhancement of <span class=""search-hit mathjax"">Blockchain</span>-based Supply Chain Management",https://arxiv.org/pdf/2209.04917
"A customer satisfaction centric food delivery system based on <span class=""search-hit mathjax"">blockchain</span> and smart contract",https://arxiv.org/pdf/2209.04614
Fighting Sybils in Airdrops,https://arxiv.org/pdf/2209.04603
"Trustworthy Federated Learning via <span class=""search-hit mathjax"">Blockchain</span>",https://arxiv.org/pdf/2209.04418
"Managing a <span class=""search-hit mathjax"">blockchain</span>-based platform ecosystem for industry-wide adoption: The case of TradeLens",https://arxiv.org/pdf/2209.04206
Trustless Cross-chain Communication for Zendoo Sidechains,https://arxiv.org/pdf/2209.03907
Challenges of Proof-of-Useful-Work (PoUW),https://arxiv.org/pdf/2209.03865
"Multisecret-sharing scheme with two-level security and its applications in <span class=""search-hit mathjax"">Blockchain</span>",https://arxiv.org/pdf/2209.03670
"Efficient quantum non-fungible tokens for <span class=""search-hit mathjax"">blockchain</span>",https://arxiv.org/pdf/2209.02449
Web3 Challenges and Opportunities for the Market,https://arxiv.org/pdf/2209.02446
"A Markov Process Theory for Network Growth Processes of DAG-based <span class=""search-hit mathjax"">Blockchain</span> Systems",https://arxiv.org/pdf/2209.01458
DecVi: Adaptive Video Conferencing on Open Peer-to-Peer Networks,https://arxiv.org/pdf/2209.00695
Simulating BFT Protocol Implementations at Scale,https://arxiv.org/pdf/2208.14745
"PBAG: A Privacy-Preserving <span class=""search-hit mathjax"">Blockchain</span>-based Authentication Protocol with Global-updated Commitment in IoV",https://arxiv.org/pdf/2208.14616
Semantics and Non-Fungible Tokens for Copyright Management on the Metaverse and Beyond,https://arxiv.org/pdf/2208.14174
UWB Role Allocation with Distributed Ledger Technologies for Scalable Relative Localization in Multi-Robot Systems,https://arxiv.org/pdf/2208.13546
Partition-Tolerant and Byzantine-Tolerant Decision-Making for Distributed Robotic Systems with IOTA and ROS 2,https://arxiv.org/pdf/2208.13467
Price of MEV: Towards a Game Theoretical Approach to MEV,https://arxiv.org/pdf/2208.13464
SoK: Decentralized Finance (DeFi) Incidents,https://arxiv.org/pdf/2208.13035
TSGN: Transaction Subgraph Networks Assisting Phishing Detection in Ethereum,https://arxiv.org/pdf/2208.12938
A Joint Framework to Privacy-Preserving Edge Intelligence in Vehicular Networks,https://arxiv.org/pdf/2208.12755
PNPCoin: Distributed Computing on Bitcoin infrastructure,https://arxiv.org/pdf/2208.12628
"Consensusless <span class=""search-hit mathjax"">Blockchain</span>: A Promising High-Performance <span class=""search-hit mathjax"">Blockchain</span> without Consensus",https://arxiv.org/pdf/2208.12381
"A Platform-Free Proof of Federated Learning Consensus Mechanism for Sustainable <span class=""search-hit mathjax"">Blockchains</span>",https://arxiv.org/pdf/2208.12046
"A Trusted, Verifiable and Differential Cyber Threat Intelligence Sharing Framework using <span class=""search-hit mathjax"">Blockchain</span>",https://arxiv.org/pdf/2208.12031
A Plural Decentralized Identity Frontier: Abstraction v. Composability Tradeoffs in Web3,https://arxiv.org/pdf/2208.11443
"Gromit: Benchmarking the Performance and Scalability of <span class=""search-hit mathjax"">Blockchain</span> Systems",https://arxiv.org/pdf/2208.11254
"Your <span class=""search-hit mathjax"">Blockchain</span> Needn't Care How the Message is Spread",https://arxiv.org/pdf/2208.11241
"Investigating the Requirements for Building a <span class=""search-hit mathjax"">Blockchain</span> Simulator for IoT Applications",https://arxiv.org/pdf/2208.11207
"<span class=""search-hit mathjax"">Blockchain</span> Simulators: A Systematic Mapping Study",https://arxiv.org/pdf/2208.11202
Decentralized Collaborative Learning with Probabilistic Data Protection,https://arxiv.org/pdf/2208.10674
"Optimal Bootstrapping of PoW <span class=""search-hit mathjax"">Blockchains</span>",https://arxiv.org/pdf/2208.10618
"To EVM or Not to EVM: <span class=""search-hit mathjax"">Blockchain</span> Compatibility and Network Effects",https://arxiv.org/pdf/2208.10269
An Incentive-Compatible Mechanism for Decentralized Storage Network,https://arxiv.org/pdf/2208.09937
Exploring Price Accuracy on Uniswap V3 in Times of Distress,https://arxiv.org/pdf/2208.09642
"<span class=""search-hit mathjax"">Blockchain</span>-based traffic management for Advanced Air Mobility",https://arxiv.org/pdf/2208.09312
"Scaling <span class=""search-hit mathjax"">Blockchains</span> with Error Correction Codes: A Survey on Coded <span class=""search-hit mathjax"">Blockchains</span>",https://arxiv.org/pdf/2208.09255
"<span class=""search-hit mathjax"">Blockchain</span> based digital vaccine passport",https://arxiv.org/pdf/2208.08760
"Recent Advances of <span class=""search-hit mathjax"">Blockchain</span> and its Applications",https://arxiv.org/pdf/2208.07993
Dynamic Pricing for Non-fungible Resources,https://arxiv.org/pdf/2208.07919
"Towards Interoperability of Open and Permissionless <span class=""search-hit mathjax"">Blockchains</span>: A Cross-Chain Query Language",https://arxiv.org/pdf/2209.07224
A First Application of Collaborative Learning In Particle Physics,https://arxiv.org/pdf/2209.07191
"Self-Healing Secure <span class=""search-hit mathjax"">Blockchain</span> Framework in Microgrids",https://arxiv.org/pdf/2209.07138
How Much Does It Cost to Train a Machine Learning Model over Distributed Data Sources?,https://arxiv.org/pdf/2209.07124
Smart Contract Vulnerability Detection Technique: A Survey,https://arxiv.org/pdf/2209.05872
A Survey on Mobile Edge Computing for Video Streaming: Opportunities and Challenges,https://arxiv.org/pdf/2209.05761
Modelling Business Agreements in the Multimodal Transportation Domain through Ontological Smart Contracts,https://arxiv.org/pdf/2209.05463
"A Declarative Modelling Framework for the Deployment and Management of <span class=""search-hit mathjax"">Blockchain</span> Applications",https://arxiv.org/pdf/2209.05092
An Investigation of Smart Contract for Collaborative Machine Learning Model Training,https://arxiv.org/pdf/2209.05017
"IOTA Tangle 2.0: Toward a Scalable, Decentralized, Smart, and Autonomous IoT Ecosystem",https://arxiv.org/pdf/2209.04959
"Towards Security Enhancement of <span class=""search-hit mathjax"">Blockchain</span>-based Supply Chain Management",https://arxiv.org/pdf/2209.04917
